Date,Close,High,Low,Open,Volume,Adj Close
2022-11-15,324.79998779296875,364.7999877929688,321.1000061035156,359.5,16728869,
2022-11-16,345.45001220703125,348.6499938964844,323.5,325.0,3678285,
2022-11-17,340.45001220703125,346.3999938964844,334.29998779296875,343.0,598178,
2022-11-18,336.6499938964844,344.5,335.0,341.95001220703125,382364,
2022-11-21,342.95001220703125,347.0,327.70001220703125,336.0,1246319,
2022-11-22,341.70001220703125,347.0,339.0,340.1000061035156,399287,
2022-11-23,337.29998779296875,343.8999938964844,335.04998779296875,341.70001220703125,194186,
2022-11-24,345.6499938964844,356.0,338.0,339.8999938964844,845293,
2022-11-25,360.25,365.8999938964844,347.20001220703125,347.20001220703125,1847437,
2022-11-28,375.3500061035156,378.5499877929688,363.6499938964844,365.0,2421780,
2022-11-29,366.1499938964844,391.0,363.8500061035156,386.0,2731172,
2022-11-30,366.8999938964844,370.7999877929688,360.25,368.0,719966,
2022-12-01,373.5499877929688,379.0,370.2999877929688,371.3999938964844,1070080,
2022-12-02,379.9500122070313,382.0,369.0,373.5499877929688,1111142,
2022-12-05,381.9500122070313,384.0,376.0499877929688,381.8500061035156,547728,
2022-12-06,380.2999877929688,387.7000122070313,375.0,380.1499938964844,430531,
2022-12-07,389.5499877929688,403.2000122070313,379.1000061035156,379.7000122070313,1990339,
2022-12-08,387.9500122070313,394.6000061035156,385.5,392.5,408752,
2022-12-09,376.75,390.75,374.3999938964844,390.0,311271,
2022-12-12,390.0,399.5,374.4500122070313,375.9500122070313,987898,
2022-12-13,391.0499877929688,398.2000122070313,387.2999877929688,391.9500122070313,542006,
2022-12-14,404.2999877929688,415.7999877929688,391.0499877929688,392.2000122070313,2150470,
2022-12-15,404.7000122070313,409.7000122070313,398.5,405.0,516463,
2022-12-16,391.25,407.4500122070313,387.1000061035156,399.0,692523,
2022-12-19,388.7000122070313,393.0,386.0,389.0,434771,
2022-12-20,385.7999877929688,393.3500061035156,380.25,388.0,555940,
2022-12-21,369.75,390.7000122070313,363.0499877929688,387.25,751255,
2022-12-22,362.3500061035156,374.1499938964844,355.29998779296875,371.7000122070313,475783,
