Date,Close,High,Low,Open,Volume,Adj Close
2015-12-02,224.2738494873047,237.3347229171696,222.92111901482744,235.56218150291969,95708,
2015-12-03,218.443099975586,225.7665239037425,216.810490815125,225.3000641436108,31309,
2015-12-04,217.41688537597656,220.1689949660073,216.57724931166825,217.3702365554225,23575,
2015-12-07,216.1107940673828,219.2827288730917,213.68521193560483,217.41688989392944,33099,
2015-12-08,218.6296844482422,221.56837509755272,212.9855187829233,214.6181278625896,210742,
2015-12-09,214.664779663086,220.8220397364483,213.5452648904549,220.12235012116471,63942,
2015-12-10,217.2769317626953,217.790040301458,213.7318492808172,214.5714710822681,14136,
2015-12-11,215.2711334228516,219.0961083348534,212.70560528888475,216.43728257465463,37534,
2015-12-14,215.7376251220703,218.7696133670292,211.4928387320837,211.4928387320837,11157,
2015-12-15,216.06417846679688,218.2098820932007,213.21877092650203,218.2098820932007,9297,
2015-12-16,217.83670043945312,223.9473259326577,215.50440171954463,217.2769430525864,83625,
2015-12-17,221.3817901611328,222.78116934769469,214.5714752728208,217.83669337479847,39393,
2015-12-18,219.0028533935547,225.3000600406537,216.4373247595514,221.10192227592103,59954,
2015-12-21,217.32359313964844,219.2360809481554,215.59770061799813,219.2360809481554,71019,
2015-12-22,217.13699340820312,223.900659153464,216.064141777181,217.65010193247392,40201,
2015-12-23,220.0290679931641,225.4866384829812,217.3702417455356,218.30316123800569,50089,
2015-12-24,220.3555908203125,226.04640566499788,218.30317069501072,218.30317069501072,53414,
2015-12-28,220.21563720703125,226.97930316386203,219.23606894554948,221.1019078301925,92953,
2015-12-29,220.2622985839844,223.6674490485069,217.6501211495122,223.6674490485069,32145,
2015-12-30,223.9939727783203,226.6061359333994,219.32937537964827,221.8482551278869,40084,
2015-12-31,219.5159454345703,223.85401510398387,218.53637718286444,222.96774448966744,20698,
2016-01-01,229.2183074951172,231.3640250909892,219.3760043871458,221.1019110748566,125018,
2016-01-04,220.8686981201172,229.4515549254701,219.56261647579785,228.37870316300936,45684,
2016-01-05,221.56838989257807,226.46621745862456,220.16901058799343,223.85403990968865,50600,
2016-01-06,223.1077117919922,230.43113618675355,220.16902081001552,223.6208204078737,101508,
2016-01-07,221.1485290527344,228.56523484663228,219.5159202324013,223.9939358437873,238082,
2016-01-08,228.4253387451172,229.87135254064063,222.96775413190048,223.4342138685781,148589,
2016-01-11,224.08726501464844,230.2911883404622,222.0348449254076,224.83360347488752,144889,
2016-01-12,219.1427764892578,225.62657815489013,217.8833437534748,224.36713118388587,38832,
2016-01-13,213.172103881836,222.8744609027192,197.7789322667361,221.94154141089496,67571,
2016-01-14,206.1752166748047,214.5714924669913,201.5572678361465,201.9770787787114,29815,
2016-01-15,204.0761260986328,212.705630859375,194.9801616210937,208.04103369140623,96775,
2016-01-18,188.0299072265625,202.4435090565889,186.67717694857404,200.1578593820264,39172,
2016-01-19,196.14630126953125,200.4843707283722,186.5838775453329,186.5838775453329,25948,
2016-01-20,193.580810546875,195.8198118181473,186.3506838878953,191.24851162462352,25371,
2016-01-21,190.26893615722656,197.0326027803252,188.6829757960962,195.81980453879407,22803,
2016-01-22,201.83712768554688,205.14898032819823,191.9481758712391,195.86643469447048,83188,
2016-01-25,204.3560028076172,213.6385482354313,202.39686632185027,205.1956245956769,38259,
2016-01-27,204.82247924804688,213.40533580837769,195.9130951683468,205.24229017636324,52290,
2016-01-28,204.6358642578125,209.90685286910443,198.8984017382586,209.86020405475628,41636,
2016-01-29,209.8135986328125,212.98553360663368,203.14322962286704,207.06148883973088,31848,
2016-02-01,210.32669067382807,217.7433975783516,209.0672579363928,217.7433975783516,58716,
2016-02-02,208.9273376464844,217.83672250609075,206.1752277252508,209.9069060551196,82348,
2016-02-03,201.27737426757807,207.20141855540533,197.8722239195964,207.0148232745121,10391,
2016-02-04,194.32716369628903,204.16946873709057,191.71498585943203,204.16946873709057,13770,
2016-02-05,198.058822631836,200.57770256114063,192.18142663997665,192.78781865130497,36828,
2016-02-08,193.06768798828125,200.95085492890783,190.40887595014075,198.94508369477265,11964,
2016-02-09,192.088119506836,194.51371590283048,189.38265864879887,189.47595629296103,30572,
2016-02-10,191.76158142089844,193.86065002606105,186.16406514046483,193.0676628589116,70646,
2016-02-11,170.07119750976562,190.3155442193924,168.43858867455026,189.47592251251223,58185,
2016-02-12,159.99569702148438,170.02458182020715,156.73047871492346,169.8380007640195,33677,
2016-02-15,169.79132080078125,172.59007883595896,162.32796604030736,165.96634579195057,31567,
2016-02-16,167.17918395996094,173.33645881100455,166.05968332392288,170.7242811701005,13632,
2016-02-17,164.5670166015625,169.23161473919436,154.86465816937775,169.23161473919436,26189,
2016-02-18,165.3599853515625,171.1907323667798,159.99569809756258,167.78558180398178,12406,
2016-02-19,165.77975463867188,174.45590686454034,163.4474564185577,174.45590686454034,28298,
2016-02-22,167.59898376464844,170.1178778221196,164.19383325765517,166.0596722719467,10660,
2016-02-23,166.38616943359375,177.30132282850232,159.99566628161077,171.19069832463893,56582,
2016-02-24,162.46792602539062,170.21116076029995,160.83531689240706,166.99259131660529,20565,
2016-02-25,161.44171142578125,167.55233658539825,160.46214316985134,167.55233658539825,18951,
2016-02-26,153.60519409179688,166.94594614587544,152.25246362763858,161.34842899607094,24698,
2016-02-29,165.03346252441406,173.8961982399357,148.28755946686766,154.9112939588729,34502,
2016-03-01,169.60475158691406,170.6309543967931,160.74201719181636,163.02766689929746,34869,
2016-03-02,174.50257873535156,178.93394593914445,171.65717168376676,171.65717168376676,58898,
2016-03-03,184.7180633544922,186.58390237827493,177.16140961408323,177.16140961408323,108517,
2016-03-04,187.2835693359375,189.38263798353827,178.28090283031554,186.30400112001303,74753,
2016-03-08,183.6918487548828,190.68874519148665,180.75315794559813,186.58390497610128,28676,
2016-03-09,178.23428344726562,184.15831406766776,176.3684443412701,180.9863932815645,46118,
2016-03-10,181.7793731689453,185.41775358289823,175.3888687979113,175.3888687979113,39886,
2016-03-11,181.59278869628903,187.9832934480412,179.21385517978996,181.96596506560752,70080,
2016-03-14,183.03878784179688,188.4497233391737,182.1525172374934,184.15828830171813,57023,
2016-03-15,181.1262969970703,182.85220359241345,178.37418759616736,182.85220359241345,14804,
2016-03-16,177.06813049316406,182.19918793285663,175.4355213078073,182.19918793285663,38588,
2016-03-17,178.98062133789062,181.45285245097423,178.2342828509449,180.19340536455195,22166,
2016-03-18,176.78823852539062,180.00680783091943,175.34221050834975,178.2342665424315,42143,
2016-03-21,173.9428253173828,180.5199101625992,173.5230144198628,180.5199101625992,22711,
2016-03-22,176.8349151611328,179.35379526448662,173.5230476941197,173.56969652172734,27692,
2016-03-23,174.50257873535156,179.86686535046928,173.1498484359747,175.4354981466764,24031,
2016-03-28,170.49102783203125,176.97481509952942,169.79133825132524,175.43550371606457,14941,
2016-03-29,166.43284606933594,173.52304051567867,165.12676436169423,172.82335083617997,33973,
2016-03-30,171.75048828125,174.08278706706153,167.5057016440286,170.4443924200623,38433,
2016-03-31,174.96905517578125,179.0738952841262,170.7242686012202,173.1964995835972,52707,
