Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Return %,Holding Days,Highest Gap,Highest Gap Date,Bearish Cross Date,Gap Condition Date,Exit Gap %,Exit Reason,Exit Timing,MFE %,MAE %,Invested,Shares,Realized P&L,Returned Cash
SWANDEF.NS,2016-08-22,2016-08-29,18590.0,17586.25,-5.399408284023681,7,17.5464,2016-08-24,2016-08-25,2016-08-26,47.01,Gap + EMA Confirmation,OPEN,0.44,-5.62,9997.306311333376,0.5377787149722095,-539.7953851533566,9457.510926180019
SWANCORP.NS,2016-08-22,2016-09-20,64.04,62.5,-2.404747033104315,29,0.1899,2016-08-30,2016-09-02,2016-09-19,40.02,Gap + EMA Confirmation,OPEN,4.19,-5.2,9997.306311333376,156.11034215073977,-240.40992691213978,9756.896384421236
LAOPALA.NS,2016-08-22,2016-09-23,264.98,246.08,-7.132613782172245,32,0.7611,2016-08-31,2016-09-12,2016-09-22,39.8,Gap + EMA Confirmation,OPEN,0.03,-8.42,9997.306311333376,37.72853163006029,-713.0692478081401,9284.237063525235
IFBIND.NS,2016-09-20,2016-09-29,441.15,374.98,-14.999433299331274,9,9.2944,2016-09-28,,,,Stop Loss,INTRADAY,1.33,-15.0,9756.896384421236,22.11695882221747,-1463.479165266128,8293.417219155108
PRECOT.NS,2016-09-23,2016-09-29,63.41,53.9,-14.997634442516942,6,1.1231,2016-09-28,,,,Stop Loss,INTRADAY,0.0,-15.0,9284.237063525235,146.4159764000195,-1392.415935564184,7891.821127961051
INGERRAND.NS,2016-08-19,2016-11-07,483.99,455.32,-5.923676109010521,80,6.401,2016-10-10,2016-09-01,2016-11-04,49.24,Gap + EMA Confirmation,OPEN,3.63,-6.5,10000.0,20.66158391702308,-592.3676109010521,9407.632389098948
BFINVEST.NS,2016-08-22,2016-11-09,160.44,113.09,-29.512590376464722,79,20.5246,2016-10-10,2016-10-17,,,Stop Loss,OPEN,16.34,-29.51,9997.306311333376,62.311806976647816,-2950.464060344274,7046.842250989102
INSPIRISYS.NS,2016-11-07,2016-11-09,65.0,54.0,-16.92307692307692,2,0.1478,2016-11-08,,,,Stop Loss,OPEN,2.85,-16.92,9407.632389098948,144.73280598613766,-1592.060865847514,7815.571523251434
HGS.NS,2016-08-22,2016-11-09,242.48,206.11,-14.99917518970636,79,25.0714,2016-11-01,2016-09-29,,,Stop Loss,INTRADAY,1.85,-15.0,9997.306311333376,41.22940577092287,-1499.5134878884637,8497.792823444912
MONTECARLO.NS,2016-08-23,2016-11-09,355.41,302.1,-14.999577952224197,78,14.5925,2016-11-07,2016-09-15,,,Stop Loss,INTRADAY,14.69,-15.0,9967.626181755242,28.045429733983966,-1495.1018591186858,8472.524322636556
SIGIND.NS,2016-10-05,2016-11-09,315.32,268.02,-15.000634276290745,35,23.7477,2016-11-08,2016-10-10,,,Stop Loss,INTRADAY,26.81,-15.0,10200.063636102677,32.34829264272066,-1530.0742420006864,8669.989394101991
CPCAP.NS,2016-11-09,2016-11-16,108.22,101.34,-6.357420070227307,7,0.0734,2016-11-10,2016-11-15,2016-11-11,-292.89,Gap + EMA Confirmation,OPEN,4.6,-10.61,9727.04860418243,89.8821715411424,-618.389340203059,9108.65926397937
BBL.NS,2016-11-11,2016-11-16,382.84,353.26,-7.726465364120784,5,0.4226,2016-11-11,,2016-11-15,-26.12,Confirmed Death Cross,OPEN,0.95,-8.57,10169.665965649137,26.56374977967072,-785.7557184826601,9383.910247166477
SUDARCOLOR.NS,2016-08-23,2016-12-05,443.27,411.12,-7.252915830080979,104,25.9615,2016-11-01,2016-11-04,2016-12-02,48.53,Gap + EMA Confirmation,OPEN,10.96,-9.11,9967.626181755242,22.486579695795434,-722.9435372198222,9244.68264453542
ABBOTINDIA.NS,2016-11-29,2016-12-22,4375.06,4025.02,-8.000804560394615,23,25.6654,2016-12-07,2016-12-14,2016-12-21,48.37,Gap + EMA Confirmation,OPEN,0.0,-8.4,9710.407630690235,2.219491305419865,-776.9107365491709,8933.496894141064
BANKINDIA.NS,2016-11-15,2016-12-23,105.51,91.85,-12.946640128897752,38,1.4689,2016-12-06,2016-12-07,2016-12-22,39.4,Gap + EMA Confirmation,OPEN,2.78,-13.43,10066.813472736068,95.41098922126876,-1303.3141127625331,8763.499359973535
GILLANDERS.NS,2016-12-14,2016-12-27,64.0,60.15,-6.015625000000003,13,0.0966,2016-12-22,2016-12-26,2016-12-26,12.11,Gap + EMA Confirmation,OPEN,1.56,-6.25,9244.68264453542,144.44816632086594,-556.1254403353341,8688.557204200086
SEJALLTD.NS,2017-01-02,2017-02-03,3102.99,2637.54,-15.000048340471603,32,350.025,2017-02-01,2017-02-02,,,Stop Loss,INTRADAY,20.54,-15.0,8688.557204200086,2.8000596857225086,-1303.287780719541,7385.269423480545
RSSOFTWARE.NS,2016-12-26,2017-02-23,105.64,92.1,-12.817114729269216,59,7.0894,2017-01-20,2017-01-23,2017-02-22,48.08,Gap + EMA Confirmation,OPEN,13.1,-13.43,8763.499359973535,82.95626050713305,-1123.2277672665814,7640.271592706954
