Symbol,Date,Close,Current Volume,20D Avg Volume,Volume Ratio,EMA Distance %,EMA50,EMA200,TradingView,Screener
MASKINVEST.NS,2026-07-10,155.0,515,143,3.59,0.07,151.42,151.32,https://www.tradingview.com/chart/?symbol=NSE:MASKINVEST,https://www.screener.in/company/MASKINVEST/
JAYAGROGN.NS,2026-07-10,222.42,42432,12134,3.5,0.09,210.68,210.48,https://www.tradingview.com/chart/?symbol=NSE:JAYAGROGN,https://www.screener.in/company/JAYAGROGN/
CENTURYPLY.NS,2026-07-10,790.0,142579,46896,3.04,0.02,760.31,760.17,https://www.tradingview.com/chart/?symbol=NSE:CENTURYPLY,https://www.screener.in/company/CENTURYPLY/
CHOICEIN.NS,2026-07-08,769.1,3009170,1487836,2.02,1.09,712.75,711.77,https://www.tradingview.com/chart/?symbol=NSE:CHOICEIN,https://www.screener.in/company/CHOICEIN/
GRAVITA.NS,2026-07-09,1811.4,597522,306064,1.95,0.52,1666.14,1663.02,https://www.tradingview.com/chart/?symbol=NSE:GRAVITA,https://www.screener.in/company/GRAVITA/
HTMEDIA.NS,2026-07-09,25.9,226709,162408,1.4,0.64,22.75,22.68,https://www.tradingview.com/chart/?symbol=NSE:HTMEDIA,https://www.screener.in/company/HTMEDIA/
5PAISA.NS,2026-07-09,378.1,109502,78731,1.39,0.24,337.87,337.87,https://www.tradingview.com/chart/?symbol=NSE:5PAISA,https://www.screener.in/company/5PAISA/
UNICHEMLAB.NS,2026-07-10,638.75,1113133,895319,1.24,1.31,436.04,430.42,https://www.tradingview.com/chart/?symbol=NSE:UNICHEMLAB,https://www.screener.in/company/UNICHEMLAB/
INDHOTEL.NS,2026-07-08,722.9,3032002,2677860,1.13,0.57,686.47,685.69,https://www.tradingview.com/chart/?symbol=NSE:INDHOTEL,https://www.screener.in/company/INDHOTEL/
LAKPRE.NS,2026-07-08,5.85,2861,2772,1.03,0.21,5.27,5.27,https://www.tradingview.com/chart/?symbol=NSE:LAKPRE,https://www.screener.in/company/LAKPRE/
PICCADIL.NS,2026-07-09,649.45,211109,212246,0.99,0.48,594.1,593.55,https://www.tradingview.com/chart/?symbol=NSE:PICCADIL,https://www.screener.in/company/PICCADIL/
SUPREMEENG.NS,2026-07-08,1.56,124193,135710,0.92,2.34,1.22,1.22,https://www.tradingview.com/chart/?symbol=NSE:SUPREMEENG,https://www.screener.in/company/SUPREMEENG/
PRESTIGE.NS,2026-07-07,1673.3,871915,1010612,0.86,1.35,1476.53,1473.63,https://www.tradingview.com/chart/?symbol=NSE:PRESTIGE,https://www.screener.in/company/PRESTIGE/
MAXHEALTH.NS,2026-07-08,1084.8,1749088,2211651,0.79,0.27,1055.24,1055.21,https://www.tradingview.com/chart/?symbol=NSE:MAXHEALTH,https://www.screener.in/company/MAXHEALTH/
INDORAMA.NS,2026-07-08,45.56,232596,300599,0.77,0.53,43.35,43.33,https://www.tradingview.com/chart/?symbol=NSE:INDORAMA,https://www.screener.in/company/INDORAMA/
LICI.NS,2026-07-09,438.45,3238469,4415575,0.73,0.35,411.76,411.23,https://www.tradingview.com/chart/?symbol=NSE:LICI,https://www.screener.in/company/LICI/
NAVNETEDUL.NS,2026-07-09,148.72,155654,216595,0.72,0.26,142.82,142.66,https://www.tradingview.com/chart/?symbol=NSE:NAVNETEDUL,https://www.screener.in/company/NAVNETEDUL/
RPPL.NS,2026-07-10,22.79,156615,222096,0.71,0.16,19.37,19.34,https://www.tradingview.com/chart/?symbol=NSE:RPPL,https://www.screener.in/company/RPPL/
NAVKARCORP.NS,2026-07-10,109.2,551037,812377,0.68,0.13,102.77,102.63,https://www.tradingview.com/chart/?symbol=NSE:NAVKARCORP,https://www.screener.in/company/NAVKARCORP/
AEGISVOPAK.NS,2026-07-08,276.41,1701034,2627247,0.65,1.64,223.83,223.32,https://www.tradingview.com/chart/?symbol=NSE:AEGISVOPAK,https://www.screener.in/company/AEGISVOPAK/
FDC.NS,2026-07-09,432.1,171808,265825,0.65,0.33,397.62,397.34,https://www.tradingview.com/chart/?symbol=NSE:FDC,https://www.screener.in/company/FDC/
ICICIBANK.NS,2026-07-10,1401.2,6409645,12064345,0.53,0.06,1335.48,1334.72,https://www.tradingview.com/chart/?symbol=NSE:ICICIBANK,https://www.screener.in/company/ICICIBANK/
EMIL.NS,2026-07-07,133.71,1019545,1969332,0.52,1.48,117.2,116.7,https://www.tradingview.com/chart/?symbol=NSE:EMIL,https://www.screener.in/company/EMIL/
RESPONIND.NS,2026-07-08,203.06,197903,422939,0.47,0.26,184.43,184.23,https://www.tradingview.com/chart/?symbol=NSE:RESPONIND,https://www.screener.in/company/RESPONIND/
BUTTERFLY.NS,2026-07-10,731.7,37419,81945,0.46,0.22,663.24,661.81,https://www.tradingview.com/chart/?symbol=NSE:BUTTERFLY,https://www.screener.in/company/BUTTERFLY/
CIPLA.NS,2026-07-08,1431.8,745842,1645510,0.45,0.23,1390.18,1389.88,https://www.tradingview.com/chart/?symbol=NSE:CIPLA,https://www.screener.in/company/CIPLA/
JLHL.NS,2026-07-09,1464.1,14021,33357,0.42,0.4,1355.87,1353.39,https://www.tradingview.com/chart/?symbol=NSE:JLHL,https://www.screener.in/company/JLHL/
SPANDANA.NS,2026-07-09,303.45,210398,500469,0.42,0.73,261.02,260.41,https://www.tradingview.com/chart/?symbol=NSE:SPANDANA,https://www.screener.in/company/SPANDANA/
QUESS.NS,2026-07-09,294.55,286107,706113,0.41,1.04,241.48,240.32,https://www.tradingview.com/chart/?symbol=NSE:QUESS,https://www.screener.in/company/QUESS/
INDIGO.NS,2026-07-10,5312.0,458026,1279262,0.36,0.24,4894.6,4883.03,https://www.tradingview.com/chart/?symbol=NSE:INDIGO,https://www.screener.in/company/INDIGO/
SPECIALITY.NS,2026-07-07,128.1,36276,104282,0.35,0.88,115.15,114.84,https://www.tradingview.com/chart/?symbol=NSE:SPECIALITY,https://www.screener.in/company/SPECIALITY/
KABRAEXTRU.NS,2026-07-10,294.35,39904,116468,0.34,0.5,250.59,249.35,https://www.tradingview.com/chart/?symbol=NSE:KABRAEXTRU,https://www.screener.in/company/KABRAEXTRU/
MAZDA.NS,2026-07-07,253.4,19593,84683,0.23,0.57,225.55,225.35,https://www.tradingview.com/chart/?symbol=NSE:MAZDA,https://www.screener.in/company/MAZDA/
NIITLTD.NS,2026-07-09,99.64,842960,4008614,0.21,0.65,89.05,88.81,https://www.tradingview.com/chart/?symbol=NSE:NIITLTD,https://www.screener.in/company/NIITLTD/
KAUSHALYA.NS,2026-07-08,1146.15,300,3014,0.1,1.58,909.18,903.45,https://www.tradingview.com/chart/?symbol=NSE:KAUSHALYA,https://www.screener.in/company/KAUSHALYA/
IGARASHI.NS,2026-07-10,475.3,55154,915542,0.06,0.03,421.78,421.67,https://www.tradingview.com/chart/?symbol=NSE:IGARASHI,https://www.screener.in/company/IGARASHI/
